route_id,service_id,trip_id,shape_id
20,8,25698,20Lexp
48,8,31998,48L
20,8,25348,20L
53,2,35532,53O
20,2,25342,20L
20,2,25692,20Lexp
53,9,35539,53O
53,8,35538,53O
45,8,23968,45I
48,8,31858,48L
48,9,31859,48L
48,2,31852,48L
48,3,31853,48L
45,2,23962,45I
8,2,32382,8O
8,2,32622,8I
8,8,32628,8I
18,7,27277,18O
20,2,25522,20Lexp
20,8,25528,20Lexp
44,8,32158,44O
44,2,32152,44O
54,8,37698,54O
22,9,34599,22L
18,7,27307,18O
54,8,37528,54I
20,2,25232,20Lexp
54,2,37522,54I
20,8,25238,20Lexp
22,9,35009,22L
4,2,36722,4L
4,8,36728,4L
48,8,32008,48L
53,9,35359,53O
15,2,37412,15I1035
15,8,37418,15I1035
15,9,37419,15I1035
3,2,23732,3L
28,2,36382,28I
38,9,33179,38O
38,8,33178,38O
18,7,27527,18I
4,8,36928,4L
38,3,33173,38O
38,2,33172,38O
28,8,36388,28I
4,2,36922,4L
28,2,36432,28I
15,8,37388,15I1035
15,9,37389,15I1035
50,9,28289,50L
15,2,37382,15I1035
18,11,275111,18I
51,8,29088,51I
51,2,29082,51I
15,2,37252,15L
54,2,37702,54O
22,8,34878,22L
52,8,29248, 
22,8,35088,22L
22,3,34873,22L
22,2,34872,22L
15,8,37258,15L
15,9,37259,15L
52,2,29242, 
15,2,37092,15O0655
45,2,33772,45O
15,8,37098,15O0655
45,8,33778,45O
22,3,34573,22L
18,2,29882,18O
18,11,274511,18I
50,9,28449,50L
56,2,33912, 
50,3,28443,50L
56,7,33917, 
54,9,38039,54O
22,2,35082,22L
18,7,27477,18I
52,2,29402, 
48,8,31738,48L
54,2,38032,54O
48,3,31733,48L
48,2,31732,48L
54,8,37898,54I
54,9,37899,54I
54,8,37678,54O
54,9,37679,54O
54,2,37892,54I
22,9,34579,22L
54,2,37672,54O
57,9,34019, 
57,8,34018, 
20,8,30028, 
57,3,34013, 
57,2,34012, 
20,2,30022, 
54,9,37579,54I
54,2,37872,54I
38,3,33823,38I
38,2,33822,38I
38,9,33829,38I
38,8,33828,38I
54,8,37878,54I
54,9,37879,54I
50,9,28599,50L
48,9,28049,48L
48,8,28048,48L
51,2,29062,51I
52,8,29298, 
48,3,28043,48L
48,2,31602,48L
50,3,28593,50L
51,8,29068,51I
3,2,23752,3L
48,2,31462,48L
2,2,23202,2L
22,3,34653,22L
22,2,34652,22L
57,3,34123, 
57,2,34122, 
2,8,23208,2L
3,8,23758,3L
48,8,31468,48L
53,2,35702,53I
57,8,34128, 
22,9,34659,22L
51,2,28912,51I
3,2,23592,3L
3,8,23598,3L
53,2,35382,53O
28,2,35832,28O
50,3,28623,50L
52,8,29358, 
28,8,35838,28O
53,8,35388,53O
53,9,35389,53O
50,9,28629,50L
22,2,35012,22L
22,3,35013,22L
48,3,31513,48L
48,2,31512,48L
2,2,23112,2L
22,8,35018,22L
22,9,35019,22L
2,8,23118,2L
48,9,31519,48L
48,8,31518,48L
44,2,22572,44I
8,8,32548,8I
44,8,22578,44I
53,8,35778,53I
8,2,32542,8I
22,3,34723,22L
22,2,34722,22L
53,8,35638,53I
43,2,26402,43L
2,8,23378,2L
43,7,26407,43L
48,3,31993,48L
48,2,31992,48L
22,9,34729,22L
22,8,34728,22L
2,2,23372,2L
